source,target
/,https://www.scmagazine.com/security-weekly
/security_weekly,https://www.scmagazine.com/security-weekly
/security-podcast-network,https://www.scmagazine.com/security-weekly
/shows,https://www.scmagazine.com/security-weekly
/subscribe,https://www.scmagazine.com/sw-subscribe
/listen,https://www.scmagazine.com/sw-subscribe
/live,https://www.scmagazine.com/security-weekly-live
/watch,https://www.scmagazine.com/security-weekly-live
/partners,https://www.scmagazine.com/security-weekly-partners
/sponsors,https://www.scmagazine.com/security-weekly-partners
/our-partners-sponsors,https://www.scmagazine.com/security-weekly-partners
/hosts,https://www.scmagazine.com/security-weekly-hosts
/blog,https://www.scmagazine.com/security-weekly-blog
/contact,https://www.scmagazine.com/contact-us
/support,https://www.scmagazine.com/contact-us
/about,https://www.scmagazine.com/about-us
/press,https://www.scmagazine.com/contact-us
/careers,https://www.cyberriskalliance.com/careers/
/sponsor-info,https://www.scmagazine.com/become-a-partner
/become-a-partner,https://www.scmagazine.com/become-a-partner
/search,https://www.scmagazine.com/search
/webcasts,https://www.scmagazine.com/sw-webcasts
/webcast,https://www.scmagazine.com/sw-webcasts
/ondemand,https://www.scmagazine.com/sw-webcasts
/interviews,https://www.ppworks.io/addSuggestedGuest
/guests,https://www.ppworks.io/addSuggestedGuest
/guest,https://www.ppworks.io/addSuggestedGuest
/conference-collection,https://www.ppworks.io/addSuggestedGuest
/booking,https://www.ppworks.io/addSuggestedGuest
/bookings,https://www.ppworks.io/addSuggestedGuest
/book-conference-interview,https://www.ppworks.io/addSuggestedGuest
/submitguest,https://www.ppworks.io/addSuggestedGuest
/discord,https://discord.com/invite/pqSwWm4
/swyoutube,https://www.youtube.com/securityweekly
/join-the-listener-list,https://www.scmagazine.com/sw-join-insider-list
/insider,https://www.scmagazine.com/sw-join-insider-list
/content-plan-for-security-weekly,https://www.scmagazine.com/content-plan-for-security-weekly
/scythe,https://www.scythe.io/securityweekly
/trustedsec,https://www.trustedsec.com/securityweekly/
/acunetix,https://www.acunetix.com/securityweekly/
/edgewise,https://www.zscaler.com/products/zscaler-workload-segmentation
/observeit,https://www.observeit.com/securityweekly
